19.2899 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
20.4593 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

21.7438 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
21.7439 	EXP 	window1: mouseVisible = True
21.7447 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
21.7448 	EXP 	window1: mouseVisible = True
21.7457 	EXP 	Created polygon = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=1.0, name='polygon', opacity=1.0, ori=0.0, pos=array([-0.35,  0.2 ]), size=array([0.41  , 0.3075]), units='height', vertices=ndarray(...), win=Window(...))
21.7457 	EXP 	window1: mouseVisible = True
21.7466 	EXP 	Created polygon_2 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-2.0, draggable=False, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=1.0, name='polygon_2', opacity=1.0, ori=0.0, pos=array([0.35, 0.2 ]), size=array([0.41  , 0.3075]), units='height', vertices=ndarray(...), win=Window(...))
21.7467 	EXP 	window1: mouseVisible = True
21.7573 	EXP 	Created image1 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image1', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
21.7573 	EXP 	window1: mouseVisible = True
21.7675 	EXP 	Created image2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=512.0, units='height', win=Window(...))
21.7694 	EXP 	window1: mouseVisible = True
21.7696 	EXP 	window1: mouseVisible = True
21.7707 	EXP 	window1: mouseVisible = True
21.7708 	EXP 	window1: mouseVisible = True
21.7711 	EXP 	window1: mouseVisible = True
21.7714 	EXP 	window1: mouseVisible = True
21.7752 	EXP 	window1: mouseVisible = True
21.7753 	EXP 	window1: mouseVisible = True
21.7756 	EXP 	window1: mouseVisible = True
21.7758 	EXP 	window1: mouseVisible = True
21.7791 	EXP 	window1: mouseVisible = True
21.7792 	EXP 	window1: mouseVisible = True
21.7795 	EXP 	window1: mouseVisible = True
21.7798 	EXP 	window1: mouseVisible = True
21.7833 	EXP 	window1: mouseVisible = True
21.7834 	EXP 	window1: mouseVisible = True
21.7837 	EXP 	window1: mouseVisible = True
21.7839 	EXP 	window1: mouseVisible = True
21.7872 	EXP 	window1: mouseVisible = True
21.7873 	EXP 	window1: mouseVisible = True
21.7876 	EXP 	window1: mouseVisible = True
21.7878 	EXP 	window1: mouseVisible = True
21.7912 	EXP 	window1: mouseVisible = True
21.7913 	EXP 	window1: mouseVisible = True
21.7916 	EXP 	window1: mouseVisible = True
21.7918 	EXP 	window1: mouseVisible = True
21.7952 	EXP 	window1: mouseVisible = True
21.7953 	EXP 	window1: mouseVisible = True
21.7955 	EXP 	window1: mouseVisible = True
21.7958 	EXP 	window1: mouseVisible = True
21.7992 	EXP 	window1: mouseVisible = True
21.7993 	EXP 	window1: mouseVisible = True
21.7996 	EXP 	window1: mouseVisible = True
21.7998 	EXP 	window1: mouseVisible = True
21.8031 	EXP 	window1: mouseVisible = True
21.8032 	EXP 	window1: mouseVisible = True
21.8035 	EXP 	window1: mouseVisible = True
21.8037 	EXP 	window1: mouseVisible = True
21.8072 	EXP 	window1: mouseVisible = True
21.8073 	EXP 	window1: mouseVisible = True
21.8075 	EXP 	window1: mouseVisible = True
21.8078 	EXP 	window1: mouseVisible = True
21.8111 	EXP 	window1: mouseVisible = True
21.8111 	EXP 	window1: mouseVisible = True
21.8114 	EXP 	window1: mouseVisible = True
21.8117 	EXP 	window1: mouseVisible = True
21.8151 	EXP 	window1: mouseVisible = True
