10.4910 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
11.6299 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

13.1690 	EXP 	window1: mouseVisible = True
13.1698 	EXP 	Created message_end = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Verdana', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='message_end', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
0.0018 	EXP 	rating_1: autoLog = True
0.0018 	EXP 	rating_1: styleTweaks = []
0.0018 	EXP 	rating_1: styleTweaks = []
0.0018 	EXP 	rating_1: styleTweaks = ['triangleMarker']
0.0018 	EXP 	rating_1: styleTweaks = ['triangleMarker']
0.0018 	EXP 	rating_1: contrast = 1.0
0.0018 	EXP 	rating_1: markerPos = None
0.0018 	EXP 	rating_1: autoLog = True
0.0018 	EXP 	rating_2: autoLog = True
