,101_bat1.png,101_bat2.png,102_bat.png,103_bat.png,104_bat1.png,104_bat2.png,105_bat.png,105_bat2.png,106_bat.png,107_bat.png,107_bat2.png,108_bat.png,109_bat.png,109_bat2.png,110_bat.png,111_bat.png,112_bat.png,112_bat2.png,113_bat.png,114_bat.png,115_bat1.png,115_bat2.png,116_bat1.png,116_bat2.png,117_bat1.png,117_bat2.png,118_bat.png,119_bat.png,120_bat1.png,120_bat2.png,121_bat1.png,121_bat2.png,122_bat1.png,122_bat2.png,123_bat1.png,123_bat2.png,124_bat.png,126_bat.png,127_bat.png,128_bat1.png,128_bat2.png,129_bat.png,130_bat.png,132_bat.png,133_bat.png
112_bat.png,0.09162104,0.1202265,0.10151684,0.17366958,0.15425467,0.10632062,0.10363424,0.12042427,0.10542178,0.1801911,0.13484484,0.108909726,0.08238906,0.15829998,0.11147034,0.113478065,-2.3841858e-07,0.15011871,0.116996825,0.16932929,0.12260425,0.1552797,0.14452696,0.21605003,0.12529767,0.24021661,0.11206365,0.11887032,0.27023768,0.118695736,0.116876364,0.06501222,0.11334187,0.123881936,0.14940137,0.230892,0.09859806,0.09476125,0.06722921,0.15951544,0.28149903,0.11618936,0.10797393,0.14841193,0.1306324
112_bat2.png,0.113209724,0.18402588,0.17153203,0.102849364,0.15749037,0.1544419,0.17113853,0.16463727,0.1035105,0.13135314,0.19143963,0.17723233,0.12295115,0.048357844,0.114016056,0.1386013,0.15011871,0.0,0.16225147,0.18348134,0.14507186,0.12071586,0.23432827,0.20299143,0.19469708,0.1806066,0.13550478,0.15235615,0.14817315,0.16924948,0.0809325,0.13024294,0.15237987,0.111485004,0.21850568,0.11170447,0.15825415,0.123574734,0.12940884,0.21785557,0.12491,0.121976316,0.13005865,0.23418999,0.12805104
113_bat.png,0.118502736,0.090275526,0.16402912,0.1871177,0.13519508,0.14657581,0.12455034,0.13704664,0.11852163,0.13471252,0.13991004,0.11237967,0.10992789,0.16161388,0.14075446,0.1256336,0.116996825,0.16225147,5.9604645e-08,0.2223041,0.08963716,0.1420067,0.12293595,0.1384865,0.12037462,0.15655577,0.120079875,0.15141052,0.16916078,0.15407896,0.13516587,0.12621081,0.1231333,0.19246203,0.10048807,0.16885722,0.11758232,0.07657802,0.11639035,0.103012085,0.20751679,0.13158637,0.15021777,0.12665164,0.117937446
114_bat.png,0.16992313,0.17723626,0.08366758,0.1778338,0.13928562,0.15317857,0.14907992,0.21264255,0.11468077,0.16300416,0.17405939,0.17824554,0.14417267,0.2195971,0.15692234,0.18255264,0.16932929,0.18348134,0.2223041,-1.1920929e-07,0.19322145,0.16310751,0.2438575,0.31808424,0.19506091,0.2719615,0.15437484,0.13652414,0.29184723,0.23911381,0.1886301,0.14095575,0.16778874,0.12658519,0.24639654,0.25559932,0.16560853,0.14739478,0.14746511,0.23070407,0.2738806,0.11243588,0.15836573,0.23329848,0.16100764
115_bat1.png,0.10041118,0.10291165,0.1396665,0.1467843,0.1348573,0.1064415,0.10988748,0.13782883,0.09390783,0.14546144,0.13181585,0.085116744,0.09212273,0.13070422,0.09910214,0.08558643,0.12260425,0.14507186,0.08963716,0.19322145,0.0,0.09858835,0.1543237,0.16970354,0.109400034,0.15638608,0.10379821,0.11599004,0.19186139,0.16838348,0.11917603,0.091965795,0.11548805,0.14293373,0.12823033,0.15984732,0.101489365,0.095964074,0.09800583,0.13643587,0.19640428,0.11347419,0.11452395,0.11608684,0.10770333
115_bat2.png,0.1065678,0.17502981,0.1344418,0.13442951,0.11383885,0.08214742,0.13637447,0.15562439,0.113580346,0.18249208,0.18150628,0.105463326,0.12444091,0.11417091,0.116405845,0.090361595,0.1552797,0.12071586,0.1420067,0.16310751,0.09858835,2.3841858e-07,0.21075815,0.22846752,0.16833282,0.16298878,0.13745803,0.08735049,0.21094668,0.16688478,0.14220834,0.122980475,0.11296189,0.12246907,0.18274206,0.16973174,0.1177361,0.1235944,0.08736634,0.16372818,0.20998538,0.13465089,0.12228227,0.19077432,0.10497081
116_bat1.png,0.1855402,0.11779916,0.16883731,0.26867753,0.22695416,0.20908296,0.13763517,0.1557312,0.19574815,0.1989516,0.11979747,0.15143514,0.1728741,0.20635033,0.18339479,0.15504283,0.14452696,0.23432827,0.12293595,0.2438575,0.1543237,0.21075815,-2.3841858e-07,0.18773067,0.13083887,0.18884063,0.18339115,0.2252841,0.24978185,0.1828922,0.19695824,0.16186947,0.1593607,0.22880238,0.16552198,0.22473043,0.16327965,0.14290321,0.17186278,0.14980042,0.2690208,0.20073098,0.17318535,0.11290461,0.20187217
116_bat2.png,0.23145318,0.13424045,0.261963,0.26389694,0.2787497,0.25899303,0.22904742,0.20304894,0.19343,0.15875179,0.18908381,0.21050537,0.21780598,0.18265039,0.21439612,0.20271069,0.21605003,0.20299143,0.1384865,0.31808424,0.16970354,0.22846752,0.18773067,2.3841858e-07,0.18522954,0.16524422,0.18456912,0.2607022,0.15198773,0.23897004,0.18744946,0.1850245,0.25144,0.25726825,0.118237555,0.14623195,0.1804955,0.18172878,0.23754245,0.20578009,0.19079429,0.22192115,0.23784858,0.18175161,0.2226103
117_bat1.png,0.12862223,0.093803644,0.13703322,0.2032808,0.15544903,0.14521825,0.11057055,0.13916528,0.13325936,0.15136337,0.10240328,0.10146463,0.11428404,0.20867074,0.1218158,0.11323857,0.12529767,0.19469708,0.12037462,0.19506091,0.109400034,0.16833282,0.13083887,0.18522954,-2.3841858e-07,0.14162225,0.12355292,0.12970984,0.23614013,0.18993181,0.15948534,0.119686484,0.13027138,0.20349729,0.12019718,0.20922434,0.14310932,0.1172384,0.12328333,0.17570192,0.25719404,0.11511135,0.1362549,0.100866914,0.16489929
117_bat2.png,0.1847918,0.18136615,0.24543935,0.20170665,0.17643934,0.2403202,0.206056,0.1777876,0.18827897,0.17732155,0.21551168,0.18317574,0.21339911,0.15588552,0.1957094,0.1538884,0.24021661,0.1806066,0.15655577,0.2719615,0.15638608,0.16298878,0.18884063,0.16524422,0.14162225,-1.1920929e-07,0.16680247,0.215989,0.14409918,0.24241233,0.17433333,0.19688296,0.2243169,0.23071611,0.21537495,0.12959617,0.20864153,0.17235136,0.21129638,0.16819155,0.1644938,0.19011593,0.19258738,0.20060712,0.21649724
