,101_bat.png,102_bat.png,103_bat.png,104_bat.png,105_bat.png,106_bat.png,107_bat.png,108_bat.png,109_bat.png,110_bat.png,111_bat.png,112_bat.png,113_bat.png,114_bat.png,115_bat.png,116_bat.png,117_bat.png,119_bat.png,120_bat.png,121_bat.png,122_bat.png,123_bat.png,124_bat.png,126_bat.png,127_bat.png,128_bat.png,129_bat.png,130_bat.png,132_bat.png,133_bat.png
111_bat.png,0.05843544,0.06297803,0.065636516,0.053198934,0.10934085,0.052880585,0.057260454,0.05096507,0.12470257,0.14398968,0.0,0.055304885,0.06156099,0.11135793,0.04309565,0.0659498,0.21944463,0.06567794,0.053328633,0.097454846,0.047948122,0.0634194,0.13894343,0.054462552,0.058214962,0.07372737,0.10324991,0.059634686,0.06680095,0.17591083
112_bat.png,0.068030655,0.07542288,0.07382786,0.08035576,0.11998451,0.08245295,0.09441817,0.085431576,0.1546846,0.15708637,0.055304885,0.0,0.08254588,0.113054514,0.068278015,0.080231786,0.24210262,0.091445684,0.047354102,0.11658728,0.06555712,0.083046556,0.1725539,0.06570339,0.06374478,0.079062164,0.14521384,0.086411595,0.09176785,0.18622714
113_bat.png,0.09292519,0.08294463,0.0717023,0.066714644,0.07549077,0.09049016,0.07625806,0.05449748,0.16291964,0.14175981,0.06156099,0.08254588,5.9604645e-08,0.13735032,0.058574915,0.06321442,0.23076177,0.07441187,0.06232202,0.071881175,0.06458497,0.05339265,0.17074335,0.06271082,0.07323593,0.050894022,0.11280239,0.057887435,0.06360948,0.19363433
114_bat.png,0.109096766,0.12819326,0.12462795,0.14105868,0.17617822,0.12760389,0.13978648,0.12110627,0.042814553,0.056922615,0.11135793,0.113054514,0.13735032,0.0,0.11605394,0.1355182,0.095057845,0.13237125,0.10156667,0.16219455,0.08294332,0.09991622,0.058575094,0.119425,0.12584323,0.13082689,0.06791991,0.12543851,0.13847595,0.0574193
115_bat.png,0.05140972,0.04095918,0.07139164,0.05979073,0.09441841,0.05419904,0.061990798,0.049586177,0.1308949,0.15422058,0.04309565,0.068278015,0.058574915,0.11605394,1.1920929e-07,0.054176807,0.2328546,0.058288574,0.048835814,0.09649688,0.04608637,0.046827793,0.14650333,0.054238677,0.05038923,0.06664544,0.107752144,0.047256768,0.057019234,0.18687165
116_bat.png,0.08005881,0.074175,0.06682849,0.073102355,0.08837652,0.068104506,0.070693135,0.044699192,0.15205419,0.13913149,0.0659498,0.080231786,0.06321442,0.1355182,0.054176807,-2.3841858e-07,0.23256934,0.091926396,0.06895447,0.063399196,0.06130767,0.040112615,0.16578811,0.06524837,0.06916082,0.07616615,0.10923135,0.065214574,0.043684423,0.18754792
117_bat.png,0.2286098,0.252163,0.20822883,0.23709351,0.24541783,0.2034936,0.21620113,0.21112323,0.10988319,0.07097542,0.21944463,0.24210262,0.23076177,0.095057845,0.2328546,0.23256934,-1.1920929e-07,0.2042101,0.19908142,0.23102713,0.17934453,0.21179706,0.076242745,0.21237445,0.2092402,0.21102214,0.13473642,0.24817634,0.23567545,0.06808442
119_bat.png,0.08221078,0.06489915,0.06285226,0.061880767,0.09607792,0.052730322,0.05664742,0.07400185,0.12852508,0.146348,0.06567794,0.091445684,0.07441187,0.13237125,0.058288574,0.091926396,0.2042101,-1.1920929e-07,0.06477612,0.08717352,0.056613445,0.07457852,0.119951844,0.064611316,0.05891335,0.06380117,0.12830436,0.08642584,0.07004076,0.1531744
120_bat.png,0.058642387,0.069369435,0.045175552,0.065166354,0.096398294,0.052179575,0.06914312,0.059173703,0.1445272,0.13593012,0.053328633,0.047354102,0.06232202,0.10156667,0.048835814,0.06895447,0.19908142,0.06477612,-1.1920929e-07,0.0902943,0.043649912,0.06460571,0.1399622,0.05875373,0.05747193,0.05368781,0.13469386,0.06998575,0.07428324,0.15633422
121_bat.png,0.1342994,0.11909032,0.07751787,0.09740031,0.06572747,0.093063116,0.08745861,0.07127833,0.1755659,0.1368795,0.097454846,0.11658728,0.071881175,0.16219455,0.09649688,0.063399196,0.23102713,0.08717352,0.0902943,5.9604645e-08,0.07934618,0.077874064,0.1604492,0.10079402,0.078988194,0.086483,0.11880392,0.08708662,0.056654215,0.18915701
