,101_bat.png,102_bat.png,103_bat.png,104_bat.png,105_bat.png,106_bat.png,107_bat.png,108_bat.png,109_bat.png,110_bat.png,111_bat.png,112_bat.png,113_bat.png,114_bat.png,115_bat.png,116_bat.png,117_bat.png,119_bat.png,120_bat.png,121_bat.png,122_bat.png,123_bat.png,124_bat.png,126_bat.png,127_bat.png,128_bat.png,129_bat.png,130_bat.png,132_bat.png,133_bat.png
111_bat.png,0.094010115,0.08194423,0.078529716,0.099318266,0.09202337,0.05893755,0.07230055,0.06467003,0.07433784,0.07517892,0.0,0.07383251,0.058376133,0.10932493,0.08724147,0.071798205,0.05713308,0.08256984,0.074401736,0.09289974,0.1036343,0.11199051,0.08537781,0.09226978,0.086963534,0.062615275,0.117667556,0.08428693,0.07480395,0.05943334
112_bat.png,0.061903656,0.093844175,0.101201236,0.10365379,0.08502686,0.075698495,0.094412744,0.087441206,0.048674285,0.05760926,0.07383251,0.0,0.063732326,0.08646357,0.088373184,0.09264475,0.07768214,0.058107853,0.06138295,0.09883189,0.07949662,0.07265991,0.09704703,0.061463118,0.06987965,0.06725639,0.098655105,0.07973331,0.08778775,0.06172216
113_bat.png,0.054033637,0.07057166,0.085271716,0.10272539,0.075927734,0.045870602,0.089063644,0.0610466,0.043064177,0.07288647,0.058376133,0.063732326,0.0,0.060080588,0.076833665,0.08871603,0.05437863,0.055933833,0.05683148,0.09092593,0.07067859,0.06476605,0.088952005,0.07944238,0.054530263,0.042358577,0.096511126,0.07740331,0.082146466,0.058921993
114_bat.png,0.060717225,0.077524185,0.091244996,0.10912812,0.08568025,0.060341835,0.09393293,0.08684778,0.06161475,0.09569585,0.10932493,0.08646357,0.060080588,0.0,0.07838607,0.11638427,0.07866919,0.058517694,0.07700169,0.11230898,0.08527315,0.0707891,0.090836406,0.09544575,0.06386918,0.06628442,0.107060194,0.08431506,0.085630655,0.07299113
115_bat.png,0.07195884,0.04702735,0.07645494,0.08342159,0.058097005,0.062485695,0.06560695,0.08374739,0.05878675,0.10710591,0.08724147,0.088373184,0.076833665,0.07838607,0.0,0.109393716,0.08675134,0.06546366,0.082529426,0.11123639,0.08217037,0.061422467,0.052647352,0.07914686,0.06880772,0.057482123,0.10138929,0.078642726,0.06260443,0.07011348
116_bat.png,0.1199556,0.09682727,0.10592049,0.1100778,0.11162603,0.08448976,0.10311556,0.073420405,0.071639,0.09056318,0.071798205,0.09264475,0.08871603,0.11638427,0.109393716,0.0,0.06753117,0.06833398,0.091154754,0.11457604,0.14565402,0.1349234,0.101145506,0.12458384,0.11108601,0.09735823,0.14938259,0.12846583,0.072692156,0.06306076
117_bat.png,0.08512914,0.08732277,0.070040405,0.07314116,0.09019172,0.06803954,0.07532227,0.04352808,0.05806017,0.06424713,0.05713308,0.07768214,0.05437863,0.07866919,0.08675134,0.06753117,5.9604645e-08,0.06808627,0.047072053,0.09451079,0.09213126,0.09706229,0.07436371,0.08120668,0.078936696,0.0491302,0.13240707,0.08377004,0.05947703,0.05304849
119_bat.png,0.042319536,0.066624165,0.09671754,0.10304093,0.08338487,0.055501997,0.08701974,0.072891295,0.03863561,0.064611435,0.08256984,0.058107853,0.055933833,0.058517694,0.06546366,0.06833398,0.06808627,0.0,0.06615788,0.09337813,0.081520915,0.056951642,0.08280176,0.085210264,0.04397422,0.055831015,0.091706276,0.08533591,0.07658136,0.035538495
120_bat.png,0.069552064,0.0908882,0.08214831,0.08180934,0.07694256,0.06858194,0.09241521,0.052893877,0.051369786,0.064677596,0.074401736,0.06138295,0.05683148,0.07700169,0.082529426,0.091154754,0.047072053,0.06615788,-2.3841858e-07,0.08619195,0.07806128,0.084319055,0.083236456,0.05838394,0.055115342,0.057694733,0.12146819,0.07659984,0.07887006,0.04913175
121_bat.png,0.114562094,0.11847192,0.1129812,0.113900185,0.09749806,0.08455026,0.10746777,0.1011675,0.07672912,0.09266651,0.09289974,0.09883189,0.09092593,0.11230898,0.11123639,0.11457604,0.09451079,0.09337813,0.08619195,-2.3841858e-07,0.10887641,0.12202203,0.11016214,0.12537003,0.0697093,0.10300434,0.14882624,0.124673426,0.10122484,0.06474942
